POI_ID *,LATITUDE,LONGTITUDE,STREET_NO,STREET,CITY,PROVINCE,COUNTRY,POSTAL_CODE,BRAND_NAME,FEATURE_NAME
11128100053,23.169509,-106.274355,,,MAZATLAN,SINALOA,MX,,GEN RAFAEL BUELNA INTL,MZT
11128100054,31.22543,-110.969416,,,NOGALES,SONORA,MX,,NOGALES,NOG
11128100055,27.448893,-99.566374,,,NUEVO LAREDO,TAMAULIPAS,MX,,QUETZALCÓATL INTL,NLD
11128100056,17.002448,-96.713132,,,OAXACA,OAXACA,MX,,XOXOCOTLÁN INTL,OAX
11128100057,20.598456,-97.463413,,,POZA RICA,VERACRUZ,MX,,EL TAJIN NATIONAL,PAZ
11128100058,19.163869,-98.377201,,,HUEJOTZINGO,PUEBLA,MX,,HERMANOS SERDAN INTL,PBC
11128100059,20.072242,-98.779014,,,PACHUCA,HIDALGO,MX,,ING JUAN GUILLERMO VILLASANA,PCA
11128100060,31.352376,-113.517066,,,PUNTA PEÑASCO,SONORA,MX,,PUNTA PEÑASCO,PPE
11128100061,28.628934,-100.545065,,,PIEDRAS NEGRAS,COAHUILA,MX,,PIEDRAS NEGRAS,PDS
11128100062,19.401948,-102.041478,,,URUAPAN,MICHOACÁN DE OCAMPO,MX,,GEN IGNACIO LOPEZ RAYON,UPN
11128100063,23.802669,-109.708417,,,PUNTA PESCADERO,BCS,MX,,PUNTA PESCADERO,MMPP
11128100064,17.532396,-91.991783,,,PALENQUE,CHIAPAS,MX,,PALENQUE,PQM
11128100065,20.676518,-105.248897,,,PUERTO VALLARTA,JALISCO,MX,,LIC GUSTAVO DIAZ ORDAZ INTL,PVR
11128100066,15.873774,-97.090045,,,PUERTO ESCONDIDO,OAXACA,MX,,PUERTO ESCONDIDO,PXM
11128100067,20.626684,-100.183842,,,QUERÉTARO,QUERÉTARO,MX,,ING F. ESPINOZA GUTIERREZ INTL,QRO
11128100068,26.019461,-98.225931,,,REYNOSA,TAMAULIPAS,MX,,GEN LUCIO BLANCO,REX
11128100069,16.692416,-92.54131,,,SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,MX,,SAN CRISTÓBAL DE LAS CASAS,SZT
11128100070,23.156597,-109.708439,,,SAN JOSE DEL CABO,BAJA CALIFORNIA SUR,MX,,LOS CABOS INTL,SJD
11128100071,30.933091,-114.806925,,,SAN FELIPE,BC,MX,,SAN FELIPE,SFH
11128100072,19.75303,-98.99802,,,REYES ACOZAC,MÉXICO,MX,,SANTA LUCIA AFB,MMSM
11128100073,22.249174,-100.9351,,,SAN LUIS POTOSI,SAN LUIS POTOSÍ,MX,,PONCIANO ARRIAGA INTL,SLP
11128100074,19.526438,-98.179206,,,TLAXCALA,TLAXCALA,MX,,TLAXCALA,MMTA
